name,category,description,thc,cbd,effects,aroma,flavor,is_new,is_popular,is_featured
OG Kush,Indica,"A legendary strain with a complex aroma of earth, pine, and lemon. Known for its euphoric and relaxing effects.",23.0,0.2,"Euphoric,Relaxed,Happy,Sleepy","Earthy,Pine,Lemon","Woody,Citrus,Pine",false,true,true
Blue Dream,Hybrid,"A California classic. Balanced full-body relaxation with gentle cerebral stimulation.",21.0,0.1,"Uplifted,Relaxed,Happy,Creative","Blueberry,Sweet,Earthy","Blueberry,Vanilla,Sweet",false,true,true
Sour Diesel,Sativa,"Energizing sativa known for its pungent diesel aroma and fast-acting dreamy effects.",22.0,0.2,"Energetic,Uplifted,Happy,Creative","Diesel,Earthy,Citrus","Diesel,Citrus,Earthy",false,true,false
Girl Scout Cookies,Hybrid,"GSC delivers a potent combination of euphoric, full-body effects and lasting pain relief.",28.0,0.2,"Euphoric,Happy,Relaxed,Creative","Sweet,Earthy,Pungent","Sweet,Mint,Cherry",false,true,true
Granddaddy Purple,Indica,"Classic indica with dense buds and a complex grape-berry aroma. Perfect for evening relaxation.",17.0,0.1,"Relaxed,Sleepy,Happy,Euphoric","Grape,Berry,Sweet","Grape,Berry,Sweet",false,true,false
Jack Herer,Sativa,"A legendary sativa named after the cannabis activist. Uplifting and creative.",18.0,0.1,"Energetic,Creative,Happy,Uplifted","Pine,Earthy,Wood","Pine,Wood,Spicy",false,false,false
Northern Lights,Indica,"One of the most famous indicas of all time. Resinous buds, fast flowering.",18.0,0.1,"Relaxed,Sleepy,Happy,Euphoric","Sweet,Earthy,Pine","Sweet,Spicy,Pine",false,true,false
Gorilla Glue #4,Hybrid,"Heavy-handed euphoria and relaxation leaving you feeling glued to the couch.",27.0,0.1,"Relaxed,Euphoric,Happy,Sleepy","Earthy,Pine,Diesel","Coffee,Chocolate,Diesel",false,true,false
White Widow,Hybrid,"A balanced hybrid with powerful bursts of euphoria and energy. Coffee-shop classic.",20.0,0.2,"Energetic,Euphoric,Creative,Happy","Earthy,Woody,Floral","Earthy,Floral,Sweet",false,false,false
Purple Haze,Sativa,"Inspired by the Jimi Hendrix song. A classic strain with dreamy, psychedelic effects.",20.0,0.1,"Euphoric,Happy,Creative,Energetic","Earthy,Sweet,Berry","Berry,Sweet,Spicy",false,false,false
